用例编号,所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
training_001,/培训资源(#444),查看培训资源,WoniuBoss2.5登陆成功,1.点击培训资源,显示所有咨询师的所有资源,3,功能测试,"
功能测试阶段"
query_resource_001,/培训资源(#445),选择资源库,"1.WoniuBoss2.5登陆成功
2.点击培训资源",1.资源库：【临时池】,显示所有临时池内的资源,2,功能测试,"
功能测试阶段"
query_resource_002,/培训资源(#446),选择资源库,"1.WoniuBoss2.5登陆成功
2.点击培训资源",1.资源库：【个人池】,显示所有临时池内的资源,3,功能测试,"
功能测试阶段"
query_resource_003,/培训资源(#447),选择资源库,"1.WoniuBoss2.5登陆成功
2.点击培训资源",1.资源库：【公共池】,显示所有公共池内的资源,2,功能测试,"
功能测试阶段"
query_resource_004,/培训资源(#448),选择资源库,"1.WoniuBoss2.5登陆成功
2.点击培训资源",1.资源库：【学生池】,显示所有学生池内的资源,2,功能测试,"
功能测试阶段"
query_resource_005,/培训资源(#449),选择咨询师,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【汤雪娜】",显示咨询师是汤雪娜的所有资源,2,功能测试,"
功能测试阶段"
query_resource_006,/培训资源(#450),选择咨询师,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【倪雪】",当咨询师无资源时提示“无符合条件的记录”,2,功能测试,"
功能测试阶段"
query_resource_007,/培训资源(#451),选择状态,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【全部】
3.状态：【新入库】",显示状态为新入库的所有资源,2,功能测试,"
功能测试阶段"
query_resource_008,/培训资源(#452),选择状态,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【全部】
3.状态：【新认领】",当没有资源是该状态时提示“无符合条件的记录”,2,功能测试,"
功能测试阶段"
query_resource_009,/培训资源(#453),选择来源,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【汇博人才网】",当没有资源是该来源时提示“无符合条件的记录”,2,功能测试,"
功能测试阶段"
query_resource_010,/培训资源(#454),选择来源,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【智联招聘】",显示来源是智联招聘的所有资源,2,功能测试,"
功能测试阶段"
query_resource_011,/培训资源(#455),选择资源库与咨询师,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【临时库】
2.咨询师：【汤雪娜】",资源库是临时库，咨询师是汤雪娜的所有资源,2,功能测试,"
功能测试阶段"
query_resource_012,/培训资源(#456),选择资源库与咨询师,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【临时库】
2.咨询师：【刘雪梅】",当没有满足上述条件的资源时提示“无符合条件的记录”,2,功能测试,"
功能测试阶段"
query_resource_013,/培训资源(#457),选择咨询师和状态,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【张婷】
3.状态：【新入库】",显示咨询师是张婷，状态是新入库的所有资源,2,功能测试,"
功能测试阶段"
query_resource_014,/培训资源(#458),选择咨询师和状态,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【张婷】
3.状态：【已入库】",当没有满足上述条件的资源时提示“无符合条件的记录”,2,功能测试,"
功能测试阶段"
query_resource_015,/培训资源(#459),选择状态和来源,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【全部】
3.状态：【新入库】
4.来源：【智联招聘】",显示状态是新入库，来源是智联招聘的所有资源,2,功能测试,"
功能测试阶段"
query_resource_016,/培训资源(#460),选择状态和来源,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【全部】
3.状态：【新认领】
4.来源：【智联招聘】",当没有满足上述条件的资源时提示“无符合条件的记录”,2,功能测试,"
功能测试阶段"
query_resource_017,/培训资源(#461),选择时间,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【2017-01-01】至【2018-01-01】",显示该时间段内所有的资源,2,功能测试,"
功能测试阶段"
query_resource_018,/培训资源(#462),选择时间,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【2019-03-01】至【2019-09-01】",若该时间段内无新增资源则提示“无符合条件的记录”,2,功能测试,"
功能测试阶段"
query_resource_019,/培训资源(#463),姓名搜索,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【】至【】
6.【冯佳乐】",显示冯佳乐的资源信息,2,功能测试,"
功能测试阶段"
query_resource_020,/培训资源(#464),不存在的姓名搜索,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【】至【】
6.【渣渣灰】",提示“无符合条件的记录”,2,功能测试,"
功能测试阶段"
query_resource_021,/培训资源(#465),电话搜索,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【】至【】
6.【15934836393】",显示手机号为15934836393的资源信息,2,功能测试,"
功能测试阶段"
query_resource_022,/培训资源(#466),不存在的电话搜索,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【】至【】
6.姓名：【15934831111】",提示“无符合条件的记录”,2,功能测试,"
功能测试阶段"
query_resource_023,/培训资源(#467),qq搜索,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【】至【】
6.【15934836393】",显示冯佳乐的资源信息,2,功能测试,"
功能测试阶段"
query_resource_024,/培训资源(#468),不存在的qq搜索,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【全部】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【】至【】
6.【15934836393】",提示“无符合条件的记录”,2,功能测试,"
功能测试阶段"
trace_resource_001,/培训资源(#469),跟踪,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【临时池】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【】至【】
6.点击【跟踪】",弹出资源查看与跟踪弹窗，默认显示查看简历,,功能测试,
trace_resource_002,/培训资源(#470),跟踪资源,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【临时池】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【】至【】
6.点击【跟踪】
7.点击【跟踪资源】",弹出资源查看与跟踪弹窗，进入跟踪资源页面,,功能测试,
trace_resource_003,/培训资源(#471),正确填写跟踪资源,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【临时池】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【】至【】
6.点击【跟踪】
7.点击【跟踪资源】
8.本次状态【新入库】
9.优先级别【中】
10.下次跟踪【2020-01-31】
11.跟踪内容【辞职中】
12.点击【保存】",跟踪人员信息更新完成,,功能测试,
trace_resource_004,/培训资源(#472),优先级别,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【临时池】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【】至【】
6.点击【跟踪】
7.点击【跟踪资源】",优先级别默认【低】,,功能测试,
trace_resource_005,/培训资源(#473),不选择本次状态,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【临时池】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【】至【】
6.点击【跟踪】
7.点击【跟踪资源】
8.本次状态【】
9.优先级别【中】
10.下次跟踪【2020-01-31】
11.跟踪内容【辞职中】
12.点击【保存】",提示“*本次状态不能为空.”,,功能测试,
trace_resource_006,/培训资源(#474),不选择日期,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【临时池】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【】至【】
6.点击【跟踪】
7.点击【跟踪资源】
8.本次状态【新入库】
9.优先级别【低】
10.下次跟踪【】
11.跟踪内容【辞职中】
12.点击【保存】",跟踪人员信息更新完成,,功能测试,
trace_resource_007,/培训资源(#475),不填写跟踪内容,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【临时池】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【】至【】
6.点击【跟踪】
7.点击【跟踪资源】
8.本次状态【新入库】
9.优先级别【低】
10.下次跟踪【2020-10-10】
11.跟踪内容【】
12.点击【保存】",提示“*跟踪内容不能为空.”,,功能测试,
trace_resource_008,/培训资源(#476),状态选择已报名,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.资源库：【临时池】
2.咨询师：【全部】
3.状态：【全部】
4.来源：【全部】
5.分配时间【】至【】
6.点击【跟踪】
7.点击【跟踪资源】
8.本次状态【已报名】",显示应交学费下拉框,,功能测试,
add_resource_001,/培训资源(#477),全部正常输入,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击新增
2.手机号：18361231231
3.姓名：张祺
4.性别：男
5.最新状态：新入库
6.邮箱1015221111@qq.com
7.QQ:1015221111
8.学校：蜗牛学院
9.学历：本科
10.专业：设计
11.求职意向：测试
12.工作年限：1年左右
13.期望薪水：11111
14.渠道来源：网络
15.应聘职位：测试工程师
16.年龄：23
17.教育经历：大学
18.工作经历：制造
19.最后跟踪：报名",添加成功,,功能测试,
add_resource_002,/培训资源(#478),必填项正确输入,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击新增
2.手机号：18361231231
3.姓名：张祺
4.状态：【新入库】
5.渠道来源：【网络】",添加成功,,功能测试,
add_resource_003,/培训资源(#479),不填电话,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击新增
2.手机号：","
提示：“*电话号码不能为空”",,功能测试,
add_resource_004,/培训资源(#480),不填姓名,"1.WoniuBoss2.5登陆成功
2.点击培训资源","1.点击新增
2.手机号：18361231231
3.姓名：","
提示：“*姓名不能为空”",,功能测试,
