用例标题,前置条件,步骤,预期
报表中心界面与原型图对比,"1、服务器运行正常
2、登录woniuboss系统
3、点击报表中心模块",查看报表中心界面与原型图是否保持一致,与SRS上原型图保持一致
报表中心咨询部界面与原型图对比,"1、服务器运行正常
2、登录woniuboss系统
3、点击报表中心模块",查看报表中心咨询部界面与原型图是否保持一致,与SRS上原型图保持一致
报表中心电销部界面与原型图对比,"1、服务器运行正常
2、登录woniuboss系统
3、点击报表中心模块",查看报表中心电销部界面与原型图是否保持一致,与SRS上原型图保持一致
报表中心市场部界面与原型图对比,"1、服务器运行正常
2、登录woniuboss系统
3、点击报表中心模块",查看报表中心市场部界面与原型图是否保持一致,与SRS上原型图保持一致
报表中心教学部界面与原型图对比,"1、服务器运行正常
2、登录woniuboss系统
3、点击报表中心模块",查看报表中心教学部界面与原型图是否保持一致,与SRS上原型图保持一致
报表中心就业部界面与原型图对比,"1、服务器运行正常
2、登录woniuboss系统
3、点击报表中心模块",查看报表中心就业部界面与原型图是否保持一致,与SRS上原型图保持一致
咨询部选择时间查询,"1、服务器运行正常
2、登录woniuboss系统
3、点击报表中心模块","1、点击咨询部
2、选择时间：2019-01-01至2020-01-01，点击搜索","1、打开咨询部页面
2、搜索出2019-01-01至2020-01-01各地区咨询师名下的详细信息"
咨询部选择开始时间大于结束时间查询,"1、服务器运行正常
2、登录woniuboss系统
3、点击报表中心模块","1、点击咨询部
2、选择时间：2020-01-01至2019-01-01，点击搜索","1、打开咨询部页面
2、弹窗提示结束时间不可小于开始时间"
咨询部不选择时间点击搜索,"1、服务器运行正常
2、登录woniuboss系统
3、点击报表中心模块","1、点击咨询部
2、点击搜索","1、打开咨询部页面
2、咨询部页面刷新"
咨询部选择当期搜索,"1、服务器运行正常
2、登录woniuboss系统
3、点击报表中心模块","1、点击咨询部
2、点击当期","1、打开咨询部页面
2、页面刷新为当期各地区咨询师名下的详细信息"
咨询部选择今日搜索,"1、服务器运行正常
2、登录woniuboss系统
3、点击报表中心模块","1、点击咨询部
2、点击今日","1、打开咨询部页面
2、页面刷新为今日各地区咨询师名下的详细信息"
