所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
/学员管理/基本信息(#194),点击学员管理是否跳转到学员管理页面,"1. 正常打开页面
2. 教学主管角色成功登录系统",1. 点击学员管理,1. 成功跳转至【学员管理】页面,3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),点击学员管理，该链接文字高亮显示,"1. 正常打开页面
2. 教学主管角色成功登录系统",1. 点击学员管理,1. 学员管理连接文字高亮显示,3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),点击基本信息，该子模块文字高亮显示,"1. 正常打开页面
2. 教学主管角色成功登录系统","1. 点击学员管理
2. 点击基本信息","1. 
2. 基本信息文字高亮显示",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),基本信息列表栏内是否显示所有学生信息,"1. 正常打开页面
2. 教学主管角色成功登录系统","1. 点击学员管理
2. 点击基本信息","1. 
2. 基本信息列表栏内显示所有学生信息，且和数据库信息一致",2,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),班级下拉框显示全部班级信息,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","
1. 点击班级下拉框",1. 班级下拉框默认值为“全部”，显示全部班级信息，和数据库信息一致,2,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),方向下拉框显示全部相应信息,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","
1. 点击方向下拉框
",1. 方向下拉框默认值为“全部”，显示全部方向信息,3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),最新状态下拉框显示全部相应信息,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","
1. 点击最新状态下拉框","
1. 最新状态下拉框默认值为“全部”，显示全部状态信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),班级下拉框、方向下拉框、最新状态下拉框组合选择，显示对应信息,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 班级下拉框选择‘WNCDC034’
2. 方向下拉框选择‘公共’
3. 最新状态下拉框选择‘在校学习’","1. 显示WNCDC034班级学员全部信息，和数据库信息一致
2. 显示方向为公共的WNCDC034班级学员信息，和数据库信息一致
3. 显示状态为在校学习，方向为公共的WNCDC034班级学员信息，和数据库信息一致",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),选择一条信息页面响应时间,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 班级下拉框选择‘WNCDC027’
",1. 页面响应时间不超过5s,3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),默认姓名、电话、qq等信息密文显示,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 查看列表信息的姓名列
2. 选择一条学员信息点击查看按钮
3. 查看信息","1. 姓名列全部密文显示
2. '查看学员基本信息'框正常弹出
3. 姓名、电话、qq信息全部密文显示",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),解密功能是否正常,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 点击解密按钮
2. 输入正确二级密码
3. 点击确定
4. 选择一条学员信息点击查看按钮
5. 查看信息","1. 
2. 
3. 列表的姓名全部明文显示
4. '查看学员基本信息'框正常弹出
5. 姓名、电话、qq信息全部明文显示",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),姓名输入框是否支持联想输入,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息",1. 在姓名输入框输入姓名'冷',1. 姓名输入框下方显示姓名和冷相关的全部信息,3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),姓名输入框是否支持模糊查询,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 在姓名输入框输入姓名'李'
2. 点击搜索按钮","1. 成功输入
2. 列表下方显示所有名字中带有冷字的信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),验证学员信息准确性,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学生信息点击查看
2. 检查信息正确性","1. 弹出‘查看学员基本信息’窗口
2. 信息和数据库信息一致",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改按钮是否正常,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息",1. 选择一条学员信息点击修改,1. 弹出‘修改学员基本信息’窗口,3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口姓名输入框为空,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 将姓名输入框的信息清空
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，请输入学员姓名’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口姓名输入框输入数字,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在姓名输入框输入‘1111111’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，学员姓名必须为字母或汉字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口姓名输入框输入空格,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在姓名输入框输入‘        ’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，学员姓名必须为字母或汉字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口姓名输入框输入特殊字符,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在姓名输入框输入‘#￥￥%%’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，学员姓名必须为字母或汉字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口姓名输入框输入超长字符,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在姓名输入框输入‘abcdefghijklmnopqrstuvwxyz’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，学员姓名长度应为4-8位’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口姓名输入框输入4位字符,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在姓名输入框输入‘lucy’
3. 点击保存按钮","1. 
2. 
3. 显示‘修改成功’并自动关闭窗口，列表和数据库为修改后的信息
",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口姓名输入框输入8位字符,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在姓名输入框输入‘你好你好’
3. 点击保存按钮","1. 
2. 
3. 显示‘修改成功’并自动关闭窗口，列表和数据库为修改后的信息
",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口姓名输入框输入3位字符,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在姓名输入框输入‘kjg’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，学员姓名长度应为4-8位’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口姓名输入框输入9位字符,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在姓名输入框输入‘jasonjaso’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，学员姓名长度应为4-8位’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口学号输入框为空,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在学号输入框不输入
3.点击保存按钮","1. 
2. 
3. 显示‘保存失败，请输入学员学号信息’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口学号输入框为13位数字,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在学号输入框输入‘1234567891234’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，学号必须为4位大写字母+9位数字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口学号输入框输入12位字母+数字组合,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在学号输入框输入‘WNCD12346678’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，学号必须为12位’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口学号输入框输入14位大写字母+数字组合,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在学号输入框输入‘WNCD1234667890’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，学号必须为12位’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口学号输入框输入13位小写字母+数字组合,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在学号输入框输入‘wncd123466789’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，学号必须为4位大写字母+9位数字’信息",3,功能测试,"
功能测试阶段"
/学员管理/基本信息(#194),修改窗口学号输入框输入13位不以’WN‘打头字母+数字组合,"1. 正常打开页面
2. 教学主管角色成功登录系统
3. 点击学员管理
4. 点击基本信息","1. 选择一条学员信息点击修改
2. 在学号输入框输入‘NMCD123466789’
3. 点击保存按钮","1. 
2. 
3. 显示‘保存失败，前两位字母必须为“WN”’信息",3,功能测试,"
功能测试阶段"
