所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/行政综合(#11),检查页面元素是否完整-行政综合,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123",1. 在快捷导航栏中单击【行政综合】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段
/行政综合/固定资产管理(#210),检查页面元素是否完整-行政综合-固定资产管理,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】",1. 在快捷导航栏【行政管理】中单击【固定资产管理】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段
/行政综合/固定资产管理(#210),检查页面元素是否完整-行政综合-固定资产领用登记,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】",1. 在快捷导航栏【行政管理】中单击【固定资产领用登记】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段
/行政综合/固定资产管理(#210),检查页面元素是否完整-行政综合-固定资产归还,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】",1. 在快捷导航栏【行政管理】中单击【固定资产归还】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段
,,,,,,,,
/行政综合/固定资产管理(#210),【区域】下拉框显示,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产管理】",1. 单击【区域】下拉框,1. 显示"全部",,2,功能测试,系统测试阶段
/行政综合/固定资产管理(#210),【部门】下拉框显示,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产管理】",1. 单击【部门】下拉框,1. 显示"全部",,2,功能测试,系统测试阶段
/行政综合/固定资产管理(#210),【状态】下拉框显示,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产管理】",1. 单击【状态】下拉框,1. 显示"全部"、"可使用"、"已报废"、"已损坏"、"已领用"、"未使用",,2,功能测试,系统测试阶段
/行政综合/固定资产管理(#210),【状态】可使用显示,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产管理】","1. 单击【状态】选取框
2. 选取""全部""",1. 只显示"状态"为"全部"的数据,,2,功能测试,系统测试阶段
/行政综合/固定资产管理(#210),【状态】可使用显示-可使用,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产管理】","1. 单击【状态】选取框
2. 单击【状态】选取框，选取""可使用""",1. 只显示"状态"为"可使用"的数据,,2,功能测试,系统测试阶段
/行政综合/固定资产管理(#210),【状态】可使用显示-已报废,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏【行政管理】中单击【固定资产管理】","1. 单击【状态】选取框
2. 单击【状态】选取框，选取""已报废""",1. 只显示"状态"为"已报废"的数据,,2,功能测试,系统测试阶段
